"(30, 'relu')",128.14644194174195
"(30, 'relu')","(30, 'relu')",107.23613275395027
"(30, 'relu')","(30, 'relu')","(30, 'relu')",111.50296943320537
"(10, 'relu')",153.87528815495872
"(10, 'relu')","(10, 'relu')",124.20991630748502
"(10, 'relu')","(10, 'relu')","(10, 'relu')",105.36334189870813
"(20, 'relu')",133.19457637022097
"(20, 'relu')","(20, 'relu')",106.15719001733846
"(20, 'relu')","(20, 'relu')","(20, 'relu')",98.21608720271229
"(20, 'sigmoid')","(20, 'sigmoid')","(20, 'sigmoid')",104.5424693370639
"(20, 'elu')","(20, 'elu')","(20, 'elu')",98.19576219491692
"(20, 'elu')","(20, 'elu')","(20, 'elu')",108.68059875500929
"(20, 'elu')","(20, 'elu')","(20, 'elu')",103.97240764645751
"(20, 'elu')","(20, 'elu')","(20, 'elu')",111.14783487583463
